amount,duration,payments,frequency,date_diff,card_type,no_orders,avg_order,avg_trans,avg_bal,no_of_trans,total_inhabitants,avg_unemp_rt,avg_crime_rt,avg_salary,age_at_loan,Gender_F,Gender_M,same_dist_N,same_dist_Y,loan_status
252060,60,4201,0.8204747774480712,232,0.7537091988130564,3,4194.73,6998.75,34002.08,444,1204953,0.36,0.077,12541,29,0,1,1,0,1
316140,60,5269,0.8204747774480712,683,0.7537091988130564,1,5269.0,3866.65,9629.35,414,1204953,0.36,0.077,12541,23,1,0,0,1,1
320976,48,6687,0.8204747774480712,251,0.1943620178041543,1,6687.0,13399.67,47205.48,301,1204953,0.36,0.077,12541,56,1,0,0,1,1
270648,36,7518,0.13353115727002968,307,0.7537091988130564,1,7518.0,7433.61,44437.71,408,1204953,0.36,0.077,12541,53,1,0,0,1,1
215388,36,5983,0.8204747774480712,156,0.7537091988130564,1,5983.0,7253.25,35553.19,399,1204953,0.36,0.077,12541,30,1,0,1,0,1
482940,60,8049,0.8204747774480712,477,0.7537091988130564,4,3957.5,3753.92,19822.55,598,1204953,0.36,0.077,12541,19,0,1,0,1,1
168984,24,7041,0.8204747774480712,571,0.7537091988130564,1,7040.7,10103.73,63229.36,499,1204953,0.36,0.077,12541,15,1,0,0,1,1
137904,24,5746,0.8204747774480712,129,0.7537091988130564,1,5746.0,5014.36,10176.76,215,75637,0.52,0.046,9622,24,1,0,0,1,1
260640,36,7240,0.8204747774480712,490,0.7537091988130564,5,4012.8,8910.68,48178.84,352,58400,1.175,0.019,8620,48,0,1,0,1,1
60156,36,1671,0.8204747774480712,230,0.7537091988130564,3,2392.0,8003.18,38553.85,281,93931,1.33,0.02,8427,15,1,0,0,1,1
196800,24,8200,0.8204747774480712,199,0.7537091988130564,1,8200.2,17553.45,58574.13,159,112065,1.345,0.045,11277,37,0,1,0,1,1
333648,48,6951,0.8204747774480712,311,0.7537091988130564,3,5243.27,10303.0,49787.86,267,177686,1.565,0.036000000000000004,10045,21,0,1,0,1,1
174744,24,7281,0.8204747774480712,163,0.7537091988130564,1,7281.3,10178.94,45002.22,458,122603,1.7,0.043,8991,45,0,1,0,1,1
49320,12,4110,0.04599406528189911,167,0.7537091988130564,3,5457.33,9737.57,49615.36,533,122603,1.7,0.043,8991,48,0,1,0,1,1
357840,48,7455,0.8204747774480712,102,0.7537091988130564,3,5043.0,10057.35,31241.49,80,387570,1.78,0.048,9897,56,0,1,0,1,1
208128,48,4336,0.8204747774480712,439,0.1943620178041543,1,4335.8,9284.46,45511.25,406,387570,1.78,0.048,9897,39,1,0,0,1,1
84600,36,2350,0.8204747774480712,188,0.7537091988130564,1,2349.5,12677.08,57086.61,189,387570,1.78,0.048,9897,55,1,0,0,1,1
473280,60,7888,0.8204747774480712,254,0.7537091988130564,1,7887.7,8347.04,44964.87,168,387570,1.78,0.048,9897,30,0,1,0,1,1
75624,24,3151,0.8204747774480712,196,0.7537091988130564,1,3151.3,9714.77,38446.59,453,387570,1.78,0.048,9897,31,1,0,0,1,1
30276,12,2523,0.8204747774480712,388,0.7537091988130564,1,2523.2,5199.72,16253.07,303,103347,1.79,0.023,9104,57,0,1,0,1,1
30276,12,2523,0.8204747774480712,388,0.7537091988130564,1,2523.2,4177.47,16124.03,377,103347,1.79,0.023,9104,57,0,1,0,1,1
293880,60,4898,0.13353115727002968,531,0.02225519287833828,1,4898.2,12916.33,55195.54,224,197099,1.955,0.022000000000000002,9624,22,0,1,0,1,1
460980,60,7683,0.8204747774480712,181,0.7537091988130564,1,7683.2,7604.6,24349.23,101,75232,2.08,0.037000000000000005,8980,33,0,1,0,1,1
66696,24,2779,0.8204747774480712,239,0.7537091988130564,1,2778.7,9366.16,28485.72,149,75232,2.08,0.037000000000000005,8980,30,0,1,0,1,1
137880,60,2298,0.13353115727002968,486,0.7537091988130564,1,2298.2,6432.7,33760.89,402,78955,2.11,0.021,9060,28,1,0,1,0,1
71976,24,2999,0.04599406528189911,546,0.7537091988130564,1,2999.3,10428.29,45866.52,303,161854,2.11,0.025,9425,28,1,0,0,1,1
63972,36,1777,0.04599406528189911,115,0.7537091988130564,1,1776.7,5423.37,21967.03,104,157042,2.155,0.024,8743,46,1,0,0,1,1
99696,48,2077,0.8204747774480712,646,0.7537091988130564,1,2077.0,11360.43,54881.74,429,88757,2.575,0.023,8554,24,0,1,1,0,1
103680,60,1728,0.8204747774480712,604,0.7537091988130564,1,1728.0,4089.8,21089.56,355,95907,2.675,0.017,8388,20,1,0,0,1,1
272220,60,4537,0.8204747774480712,320,0.7537091988130564,3,5574.1,7464.07,35173.1,214,170449,2.865,0.036000000000000004,10787,51,0,1,0,1,1
290700,60,4845,0.8204747774480712,392,0.7537091988130564,1,4845.0,10213.5,51671.24,315,139012,3.005,0.019,8363,37,0,1,0,1,1
61656,24,2569,0.13353115727002968,167,0.7537091988130564,5,1841.56,7170.59,43681.7,333,53921,3.015,0.032,8598,42,0,1,0,1,1
307200,60,5120,0.8204747774480712,374,0.7537091988130564,1,5120.2,10391.47,31669.12,173,107911,3.045,0.017,8240,31,1,0,0,1,1
318480,60,5308,0.8204747774480712,422,0.7537091988130564,4,2576.38,7293.49,37547.42,130,70646,3.145,0.022000000000000002,8547,42,1,0,0,1,1
192552,24,8023,0.13353115727002968,440,0.7537091988130564,1,8022.8,9353.36,37400.67,379,70646,3.145,0.022000000000000002,8547,31,0,1,0,1,1
128988,36,3583,0.13353115727002968,551,0.7537091988130564,1,3583.0,10054.09,43608.41,308,70646,3.145,0.022000000000000002,8547,53,1,0,0,1,1
222180,60,3703,0.8204747774480712,382,0.7537091988130564,1,3702.8,7408.9,34328.69,196,45714,3.21,0.019,8843,54,1,0,0,1,1
265320,36,7370,0.8204747774480712,636,0.7537091988130564,1,7370.2,9268.93,48288.87,185,105606,3.275,0.021,8254,26,1,0,0,1,1
277884,36,7719,0.8204747774480712,693,0.7537091988130564,1,7718.7,8637.75,33307.29,269,105606,3.275,0.021,8254,16,0,1,0,1,1
