account_id,amount,duration,payments,frequency,date_diff,card_type,no_orders,avg_order,avg_trans,avg_bal,no_of_trans,total_inhabitants,avg_unemp_rt,avg_crime_rt,avg_salary,age_at_loan,gender,same_district,status
2,80952,24,3373,Monthly Statement,313,NULL,2,5319.35,6593.05,36540.7,478,1204953,0.36,0.077,12541,45,M,1,Good
426,252060,60,4201,Monthly Statement,232,NULL,3,4194.73,6998.75,34002.08,444,1204953,0.36,0.077,12541,29,F,0,Bad
718,76944,12,6412,Monthly Statement,535,classic,4,5075.25,9901.69,48722.66,281,1204953,0.36,0.077,12541,41,F,1,Good
1603,78936,12,6578,Monthly Statement,273,NULL,3,3374.67,3259.68,30917.35,499,1204953,0.36,0.077,12541,37,F,0,Good
1869,37944,36,1054,Monthly Statement,594,classic,1,1054,9041.93,67825.29,169,1204953,0.36,0.077,12541,32,F,1,Good
1876,209040,24,8710,Monthly Statement,355,junior,3,3920.67,6418.4,45958.46,92,1204953,0.36,0.077,12541,15,M,1,Good
1906,44952,24,1873,Monthly Statement,433,NULL,3,3128.6,8166.45,49927.9,216,1204953,0.36,0.077,12541,24,M,1,Good
2106,101520,12,8460,Monthly Statement,245,NULL,2,5964,5007.85,22391.5,185,1204953,0.36,0.077,12541,20,F,1,Good
2143,71460,36,1985,Monthly Statement,240,junior,2,4624.5,7506.29,33956.62,228,1204953,0.36,0.077,12541,16,F,1,Good
2246,415800,60,6930,Monthly Statement,286,NULL,1,6930,12953.86,46116.73,189,1204953,0.36,0.077,12541,47,F,1,Good
2268,20196,36,561,Monthly Statement,523,NULL,2,3151.5,8081.11,55270.52,286,1204953,0.36,0.077,12541,21,M,1,Good
2486,24516,12,2043,Monthly Statement,317,NULL,1,2043,12940.83,55885.48,534,1204953,0.36,0.077,12541,31,M,1,Good
2545,428784,48,8933,Monthly Statement,436,NULL,4,3238.5,3644.06,19475.24,192,1204953,0.36,0.077,12541,58,M,1,Good
2622,136344,24,5681,Monthly Statement,638,NULL,2,6374,4816.75,34076.86,179,1204953,0.36,0.077,12541,34,F,1,Good
2872,268320,60,4472,Monthly Statement,257,NULL,3,4190.33,4333.39,18990.22,173,1204953,0.36,0.077,12541,45,F,1,Good
2962,31248,12,2604,Monthly Statement,570,NULL,1,2604.5,11484.25,60424.51,422,1204953,0.36,0.077,12541,56,F,1,Good
3230,77184,36,2144,Monthly Statement,573,NULL,1,2144,11790.42,47050.96,264,1204953,0.36,0.077,12541,42,F,1,Good
3293,276084,36,7669,Monthly Statement,476,classic,5,2349.14,10670.77,59131.29,155,1204953,0.36,0.077,12541,35,F,1,Good
3664,271584,48,5658,Monthly Statement,510,classic,1,5658,12413.42,66368.94,198,1204953,0.36,0.077,12541,17,M,1,Good
3678,316140,60,5269,Monthly Statement,683,NULL,1,5269,3866.65,9629.35,414,1204953,0.36,0.077,12541,23,M,1,Bad
3747,76380,12,6365,Monthly Statement,246,NULL,4,3020.25,3044.82,17848.63,421,1204953,0.36,0.077,12541,38,F,1,Good
3752,18564,12,1547,Monthly Statement,128,NULL,2,2382.5,5503.64,54388.83,320,1204953,0.36,0.077,12541,32,F,1,Good
3862,74916,36,2081,Monthly Statement,664,NULL,3,4470.93,12611.07,58487.88,206,1204953,0.36,0.077,12541,52,M,1,Good
3953,63576,12,5298,Monthly Statement,202,NULL,1,5297.7,9966.86,57357.94,127,1204953,0.36,0.077,12541,38,F,1,Good
4144,212976,36,5916,Monthly Statement,671,NULL,2,7334.35,10934.23,47824.52,185,1204953,0.36,0.077,12541,25,F,1,Good
4616,66696,24,2779,Monthly Statement,110,classic,2,7519.35,14029.17,75595.63,124,1204953,0.36,0.077,12541,18,M,1,Good
4994,258444,36,7179,Weekly Statement,205,NULL,1,7178.8,10195.77,56216.58,206,1204953,0.36,0.077,12541,26,M,1,Good
4999,165168,36,4588,Monthly Statement,461,classic,3,5981.17,8620.77,46892.64,253,1204953,0.36,0.077,12541,39,F,1,Good
5120,323472,48,6739,Monthly Statement,415,classic,2,4873.35,9866.77,48719.46,453,1204953,0.36,0.077,12541,54,F,1,Good
5213,320976,48,6687,Monthly Statement,251,classic,1,6687,13399.67,47205.48,301,1204953,0.36,0.077,12541,56,M,1,Bad
5698,99216,36,2756,Monthly Statement,443,NULL,2,6438,12802.76,58031.57,99,1204953,0.36,0.077,12541,48,F,1,Good
5774,31176,24,1299,Monthly Statement,173,NULL,3,3285,5959.42,34951.46,303,1204953,0.36,0.077,12541,24,M,1,Good
5991,61056,48,1272,Monthly Statement,347,NULL,3,2495,4734.44,33080.65,459,1204953,0.36,0.077,12541,37,F,0,Good
6040,11736,24,489,Monthly Statement,528,NULL,4,2365,5635.81,34715.78,580,1204953,0.36,0.077,12541,52,M,1,Good
6061,5148,12,429,Monthly Statement,446,NULL,2,4475,7497.5,40547.79,126,1204953,0.36,0.077,12541,35,F,1,Good
6118,270648,36,7518,Weekly Statement,307,NULL,1,7518,7433.61,44437.71,408,1204953,0.36,0.077,12541,53,M,1,Bad
6434,110136,24,4589,Monthly Statement,553,NULL,2,4740.1,10719.85,48492.1,244,1204953,0.36,0.077,12541,39,F,1,Good
6440,34572,12,2881,Monthly Statement,228,NULL,1,2881,9941.23,49152.76,145,1204953,0.36,0.077,12541,20,F,1,Good
6592,390660,60,6511,Monthly Statement,308,junior,2,8632.85,14761.07,68033.45,224,1204953,0.36,0.077,12541,19,F,1,Good
6649,100260,60,1671,Monthly Statement,684,classic,1,1671,10793.66,52747.2,186,1204953,0.36,0.077,12541,26,M,1,Good
6792,17184,12,1432,Monthly Statement,310,NULL,4,1356,3228.95,32435.25,256,1204953,0.36,0.077,12541,53,F,1,Good
7099,234336,48,4882,Monthly Statement,659,NULL,4,4353.12,8017.96,40076.48,223,1204953,0.36,0.077,12541,27,F,1,Good
7133,48672,36,1352,Monthly Statement,415,NULL,5,850,1315.57,18803.08,567,1204953,0.36,0.077,12541,47,F,0,Good
7176,203940,60,3399,Monthly Statement,358,NULL,2,4754.5,8350.81,43275.1,149,1204953,0.36,0.077,12541,44,F,1,Good
7401,80952,24,3373,Monthly Statement,313,NULL,2,5319.35,6605.89,35557.5,478,1204953,0.36,0.077,12541,45,M,1,Good
7607,31728,24,1322,Monthly Statement,568,NULL,2,3671,4838.52,35077.34,433,1204953,0.36,0.077,12541,41,M,1,Good
7674,94488,24,3937,Monthly Statement,243,NULL,3,4265.77,10876.4,61186.58,258,1204953,0.36,0.077,12541,35,M,1,Good
7844,91584,24,3816,Monthly Statement,211,NULL,1,3816,11498.81,48070.33,366,1204953,0.36,0.077,12541,43,F,0,Good
8041,140400,36,3900,Monthly Statement,392,classic,1,3900.5,12672.65,62794.68,442,1204953,0.36,0.077,12541,49,M,0,Good
8051,208320,48,4340,Weekly Statement,479,NULL,1,4340,9533.83,41532.32,416,1204953,0.36,0.077,12541,26,F,0,Good
8327,247728,48,5161,Weekly Statement,215,junior,3,3934.73,7587.21,48589.13,339,1204953,0.36,0.077,12541,13,M,1,Good
8558,288360,60,4806,Per Transaction,107,NULL,1,4806.5,6030.21,37991.87,337,1204953,0.36,0.077,12541,55,M,1,Good
8772,88272,48,1839,Monthly Statement,399,NULL,2,4598.15,3912.76,15259.59,192,1204953,0.36,0.077,12541,18,F,1,Good
8784,74352,24,3098,Monthly Statement,559,NULL,2,5097.5,10743.86,49900.94,191,1204953,0.36,0.077,12541,40,F,1,Good
8899,125340,60,2089,Weekly Statement,476,NULL,2,2900.9,9901.12,65644.52,471,1204953,0.36,0.077,12541,48,M,1,Good
8926,566640,60,9444,Monthly Statement,308,NULL,5,3443.2,4270.25,37751.48,200,1204953,0.36,0.077,12541,26,F,1,Good
9024,70656,48,1472,Monthly Statement,273,NULL,2,3871,4368.28,26800.23,263,1204953,0.36,0.077,12541,40,M,1,Good
9034,38148,12,3179,Monthly Statement,171,NULL,4,4403,5386.02,39267.01,611,1204953,0.36,0.077,12541,29,F,1,Good
9037,321936,48,6707,Monthly Statement,693,NULL,3,4718.67,4143.29,35405.3,206,1204953,0.36,0.077,12541,37,F,1,Good
9265,39576,12,3298,Monthly Statement,522,junior,3,5602.77,8694.95,64095.11,643,1204953,0.36,0.077,12541,14,F,0,Good
9377,99936,24,4164,Monthly Statement,590,classic,3,3635,8033.49,63444.43,347,1204953,0.36,0.077,12541,31,F,1,Good
